orbit_type,sat_altitude_km,sat_lat,sat_lon,gs_lat,gs_lon,distance_km,elevation,doppler_hz,fspl_db,atm_loss_db,rx_power_dbm,visible,station,sin_elevation,cos_elevation,distance_log,rx_margin,orbit_type_enc
MEO,15922.145403454877,52.68090924861315,117.83047692387436,12.97,77.59,5669.777846593139,70.39949893847042,52331.73007814679,189.0949457746877,0.5,-86.59494577468769,1,Bangalore,0.9420545191691131,0.33545980819324867,8.643081573660607,13.405054225312313,1
MEO,15922.145403454877,52.68090924861315,117.83047692387436,28.61,77.2,4259.199469173363,75.023929603609,40312.83410867695,186.61018451431644,0.5,-84.11018451431644,1,Delhi,0.9660338379122042,0.2584156032607497,8.357071261916834,15.889815485683556,1
MEO,15922.145403454877,52.68090924861315,117.83047692387436,19.07,72.87,5370.354342242481,71.36134792796773,49857.38266881196,188.62368375897944,0.5,-86.12368375897944,1,Mumbai,0.9475530225262704,0.31959860685135866,8.588835360963818,13.876316241020561,1
MEO,15922.145403454877,52.68090924861315,117.83047692387436,13.08,80.27,5515.488658022418,70.89372976887338,51062.124144227426,188.8553048379137,0.5,-86.3553048379137,1,Chennai,0.9449130970228732,0.3273213086168425,8.615496824188535,13.644695162086293,1
MEO,15922.145403454877,52.68090924861315,117.83047692387436,22.57,88.36,4177.475808277738,75.29872346989342,39589.601206281695,186.4419037925033,0.5,-83.9419037925033,1,Kolkata,0.9672620988967667,0.25377949491206214,8.33770181985377,16.058096207496703,1
LEO,595.9703187710735,-3.2623556422841276,139.5947318708631,12.97,77.59,7077.1584576273,4.81354349983061,302927.8077330322,191.02080331236454,3.0,-91.02080331236454,0,Bangalore,0.08391339064341888,0.9964730517533954,8.86476904799973,8.979196687635465,0
LEO,595.9703187710735,-3.2623556422841276,139.5947318708631,28.61,77.2,7531.79845503135,4.524229564824277,303052.75587107014,191.56159872341902,3.0,-91.56159872341902,0,Delhi,0.07888067076685017,0.9968840653653622,8.927021892527028,8.438401276580976,0
LEO,595.9703187710735,-3.2623556422841276,139.5947318708631,19.07,72.87,7700.426941448374,4.425553284815849,303093.60491759545,191.75392101706416,3.0,-91.75392101706416,0,Mumbai,0.07716369499691694,0.9970184372289325,8.949160907743906,8.246078982935842,0
LEO,595.9703187710735,-3.2623556422841276,139.5947318708631,13.08,80.27,6794.238007762435,5.012984281159524,302837.17610915785,190.66644005084189,3.0,-90.66644005084189,1,Chennai,0.08738149661333455,0.9961749214117036,8.823977352868422,9.333559949158115,0
LEO,595.9703187710735,-3.2623556422841276,139.5947318708631,22.57,88.36,6256.036406880058,5.441759957788791,302629.9052729004,189.94961026949827,3.0,-89.94961026949827,1,Kolkata,0.09483390236045587,0.9954931094503304,8.74146193456543,10.050389730501735,0
